noun,h_adj,h_verb,h_adj_norm,h_verb_norm,delta,ratio,tau_entropy,variety_adj,variety_verb
bracket,6.0629965958044165,3.8521687236032816,0.8923499407553043,0.985993497727644,2.210827872201135,1.5739177151444053,1.5382502962234788,111,15
moo,3.927798970294786,1.5,0.9819497425736965,0.9463946303571862,2.427798970294786,2.6185326468631906,1.0902512871315175,16,3
truth,7.121268561347802,5.1525820706785375,0.7195866378269853,0.5999247022752228,1.9686864906692643,1.3820776580876488,2.4020668108650733,953,385
machining,1.9709505944546688,0.0,0.9854752972273344,0.0,1.9709505944546688,,1.072623513863328,4,1
attache,3.712157265201371,1.584962500721156,0.8096374320656922,1.0,2.127194764480215,2.3421104685519967,1.9518128396715393,24,3
fece,3.6055184167179766,3.8731406795131322,0.7582762820524082,0.928827419719413,-0.26762226279515566,0.9309030358203264,2.2086185897379593,27,18
ghetto,5.63425741780093,2.663532754804255,0.8887051610428243,0.948769510358905,2.9707246629966746,2.115332506288249,1.5564741947858787,81,7
bingo,1.0,1.9219280948873623,1.0,0.9609640474436811,-0.9219280948873623,0.520310828828696,1.0,2,4
hearkening,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
poing,0.0,0.8112781244591328,0.0,0.8112781244591328,-0.8112781244591328,0.0,6.0,1,2
